,playDate,durationMin,gameRefId,number_players,jul vs paula,jul and paula,coop,winner,scores difference,id,bggName,bggYear,designers
0,2020-11-19 19:42:33,15,75,2,True,True,0,Paula,3.0,75,Mandala,2019,"Trevor Benjamin, Brett J. Gilbert"
3,2020-11-19 19:24:50,20,101,2,True,True,0,Paula,120.0,101,Fantastische Reiche,2017,Bruce Glassco
4,2020-11-19 19:07:34,20,101,2,True,True,0,Jul,111.0,101,Fantastische Reiche,2017,Bruce Glassco
5,2020-11-18 22:15:06,35,98,2,True,True,0,Jul,6.0,98,My City,2020,Reiner Knizia
7,2020-11-18 21:57:54,40,98,2,True,True,0,Paula,11.0,98,My City,2020,Reiner Knizia
9,2020-11-18 21:50:07,35,98,2,True,True,0,Jul,1.0,98,My City,2020,Reiner Knizia
11,2020-11-18 10:00:00,15,101,2,True,True,0,Jul,25.0,101,Fantastische Reiche,2017,Bruce Glassco
12,2020-11-17 19:01:29,15,101,2,True,True,0,Jul,14.0,101,Fantastische Reiche,2017,Bruce Glassco
13,2020-11-17 16:44:30,25,98,2,True,True,0,Jul,3.0,98,My City,2020,Reiner Knizia
15,2020-11-16 13:01:48,25,98,2,True,True,0,Paula,4.0,98,My City,2020,Reiner Knizia
17,2020-11-14 21:07:44,25,98,2,True,True,0,Jul,9.0,98,My City,2020,Reiner Knizia
19,2020-11-14 20:30:21,25,98,2,True,True,0,Paula,5.0,98,My City,2020,Reiner Knizia
21,2020-11-14 20:20:38,25,98,2,True,True,0,Paula,10.0,98,My City,2020,Reiner Knizia
23,2020-11-14 19:15:26,25,98,2,True,True,0,Paula,1.0,98,My City,2020,Reiner Knizia
25,2020-11-14 18:54:24,20,59,1,False,False,1,Jul,,59,Ubongo,2003,Grzegorz Rejchtman
26,2020-11-14 18:02:27,90,104,1,False,False,1,Jul,,104,Detective Stories: Fall 2 – Antarktis Fatale,2019,Alexander Krys
27,2020-11-12 17:44:47,18,59,1,False,False,1,Jul,,59,Ubongo,2003,Grzegorz Rejchtman
28,2020-11-12 13:27:50,16,59,1,False,False,1,Jul,,59,Ubongo,2003,Grzegorz Rejchtman
29,2020-11-10 20:22:35,60,91,1,False,False,1,Jul,,91,Hidden Games: The Case „Klein-Borstelheim“,2019,
30,2020-11-08 22:11:11,25,98,2,True,True,0,Jul,1.0,98,My City,2020,Reiner Knizia
