,playDate,durationMin,gameRefId,number_players,jul vs paula,jul and paula,coop,winner,scores difference,id,bggName,bggYear,bggId
0,2021-08-08 15:33:50,24,98,2,True,True,0,Jul,0.0,98,My City,2020,295486
2,2021-08-08 15:20:09,25,98,2,True,True,0,Jul,5.0,98,My City,2020,295486
4,2021-08-08 14:54:54,20,98,2,True,True,0,Paula,4.0,98,My City,2020,295486
7,2021-08-01 15:45:34,120,138,2,True,True,0,Jul,17.0,138,Brass: Birmingham,2018,224517
8,2021-07-31 15:51:03,90,145,2,True,True,0,Paula,29.0,145,Die Burgen von Burgund,2011,84876
13,2021-07-21 21:38:55,99,145,2,True,True,0,Paula,5.0,145,Die Burgen von Burgund,2011,84876
14,2021-07-20 22:29:23,90,145,2,True,True,0,Paula,34.0,145,Die Burgen von Burgund,2011,84876
15,2021-07-18 14:06:56,82,145,2,True,True,0,Paula,27.0,145,Die Burgen von Burgund,2011,84876
16,2021-07-17 14:08:31,90,145,2,True,True,0,Paula,9.0,145,Die Burgen von Burgund,2011,84876
21,2021-07-03 15:42:31,60,145,2,True,True,0,Paula,19.0,145,Die Burgen von Burgund,2011,84876
22,2021-06-26 14:12:58,70,135,2,True,True,0,Paula,12.0,135,Die Insel der Katzen,2019,281259
23,2021-06-17 22:50:19,120,146,2,True,True,0,Paula,37.0,146,Tzolk'in: The Mayan Calendar,2012,126163
24,2021-06-15 14:29:47,60,145,2,True,True,0,Paula,26.0,145,Die Burgen von Burgund,2011,84876
25,2021-06-14 22:15:58,15,143,2,True,True,0,Jul,1.0,143,Railroad Ink: Deep Blue Edition,2018,245654
26,2021-06-13 22:57:21,120,145,2,True,True,0,Paula,21.0,145,Die Burgen von Burgund,2011,84876
27,2021-06-07 20:45:09,30,142,2,True,True,0,Paula,8.0,142,Paris: La Cité de la Lumière,2019,276498
29,2021-05-30 14:08:59,60,139,2,True,True,0,Paula,18.0,139,Everdell,2018,199792
30,2021-05-25 20:44:47,20,101,2,True,True,0,Paula,54.0,101,Fantastische Reiche,2017,223040
32,2021-05-23 22:13:58,60,139,2,True,True,0,Jul,13.0,139,Everdell,2018,199792
34,2021-05-22 14:42:42,60,139,2,True,True,0,Jul,2.0,139,Everdell,2018,199792
37,2021-05-16 21:10:53,90,138,2,True,True,0,Jul,12.0,138,Brass: Birmingham,2018,224517
38,2021-05-14 21:01:14,35,68,2,True,True,0,Paula,1.0,68,Azul: Summer Pavilion,2019,287954
39,2021-05-13 23:17:14,180,138,2,True,True,0,Jul,5.0,138,Brass: Birmingham,2018,224517
40,2021-05-13 13:39:54,40,136,2,True,True,0,Paula,12.0,136,Calico,2020,283155
44,2021-05-01 21:06:07,20,4,2,True,True,0,Jul,28.0,4,That's Pretty Clever,2018,244522
45,2021-04-30 22:06:37,25,4,2,True,True,0,Jul,24.0,4,That's Pretty Clever,2018,244522
47,2021-04-24 21:16:18,50,3,2,True,True,0,Paula,4.0,3,Heaven & Ale,2017,227789
48,2021-04-23 21:47:51,25,98,2,True,True,0,Paula,1.0,98,My City,2020,295486
50,2021-04-23 21:47:38,20,98,2,True,True,0,Paula,7.0,98,My City,2020,295486
52,2021-04-23 21:47:06,20,98,2,True,True,0,Jul,2.0,98,My City,2020,295486
54,2021-04-16 21:43:05,45,136,2,True,True,0,Paula,1.0,136,Calico,2020,283155
57,2021-04-09 21:32:59,30,136,2,True,True,0,Paula,17.0,136,Calico,2020,283155
58,2021-04-09 20:42:26,45,136,2,True,True,0,Paula,6.0,136,Calico,2020,283155
59,2021-04-09 13:59:57,21,4,2,True,True,0,Jul,105.0,4,That's Pretty Clever,2018,244522
66,2021-04-02 22:54:51,80,135,2,True,True,0,Paula,2.0,135,Die Insel der Katzen,2019,281259
67,2021-03-29 20:41:06,25,4,2,True,True,0,Jul,30.0,4,That's Pretty Clever,2018,244522
68,2021-03-27 21:28:13,25,4,2,True,True,0,Jul,28.0,4,That's Pretty Clever,2018,244522
69,2021-03-26 21:48:26,90,107,2,True,True,0,Paula,2.0,107,Lost Ruins of Arnak,2020,312484
70,2021-03-24 21:10:32,25,4,2,True,True,0,Paula,47.0,4,That's Pretty Clever,2018,244522
71,2021-03-23 20:39:50,30,134,2,True,True,0,Paula,16.0,134,Bohnanza: Das Duell,2016,205867
72,2021-03-23 19:45:14,15,101,2,True,True,0,Jul,46.0,101,Fantastische Reiche,2017,223040
74,2021-03-21 21:10:54,1,133,2,True,True,1,,,133,The Adventures of Robin Hood,2021,326494
75,2021-03-20 21:33:23,30,9,2,True,True,0,Jul,56.0,9,Isle of Skye: From Chieftain to King,2015,176494
76,2021-03-20 20:17:52,15,86,2,True,True,0,Paula,29.0,86,NMBR 9,2017,217449
77,2021-03-20 19:29:16,30,4,2,True,True,0,Jul,7.0,4,That's Pretty Clever,2018,244522
85,2021-03-16 20:20:56,25,4,2,True,True,0,Paula,70.0,4,That's Pretty Clever,2018,244522
89,2021-03-14 19:57:14,20,4,2,True,True,0,Paula,5.0,4,That's Pretty Clever,2018,244522
90,2021-03-14 15:25:39,20,4,2,True,True,0,Paula,76.0,4,That's Pretty Clever,2018,244522
91,2021-03-14 14:54:58,20,101,2,True,True,0,Paula,27.0,101,Fantastische Reiche,2017,223040
93,2021-03-13 15:10:43,20,75,2,True,True,0,Jul,31.0,75,Mandala,2019,264241
103,2021-03-03 21:23:35,30,131,2,True,True,1,,,131,MicroMacro: Crime City,2020,318977
105,2021-02-27 20:47:10,90,116,2,True,True,0,Paula,20.0,116,Scythe,2016,169786
